arxiv_id,title,authors,categories,submitted,paper_url,pdf_url,crawled_at
"2602.22207","Recovered in Translation: Efficient Pipeline for Automated Translation of Benchmarks and Datasets","Hanna Yukhymenko, Anton Alexandrov, Martin Vechev","cs.CL, cs.AI, cs.LG","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22207","https://arxiv.org/pdf/2602.22207","2026-02-26T04:05:14.941Z"
"2602.22200","SumTablets: A Transliteration Dataset of Sumerian Tablets","Cole Simmons, Richard Diehl Martinez, Dan Jurafsky","cs.CL, doi, 10.18653/v1/2024.ml4al-1.20","Submitted 25 February, 2026; originally announced February 2026. Comments: 11 pa","https://arxiv.org/abs/2602.22200","https://arxiv.org/pdf/2602.22200","2026-02-26T04:05:14.942Z"
"2602.22197","Off-The-Shelf Image-to-Image Models Are All You Need To Defeat Image Protection Schemes","Xavier Pleimling, Sifat Muhammad Abdullah, Gunjan Balde, Peng Gao, Mainack Mondal, Murtuza Jadliwala, Bimal Viswanath","cs.CV, cs.AI","Submitted 25 February, 2026; originally announced February 2026. Comments: This ","https://arxiv.org/abs/2602.22197","https://arxiv.org/pdf/2602.22197","2026-02-26T04:05:14.943Z"
"2602.22190","GUI-Libra: Training Native GUI Agents to Reason and Act with Action-aware Supervision and Partially Verifiable RL","Rui Yang, Qianhui Wu, Zhaoyang Wang, Hanyang Chen, Ke Yang, Hao Cheng, Huaxiu Yao, Baoling Peng, Huan Zhang, Jianfeng Gao, Tong Zhang","cs.LG, cs.AI, cs.CL","Submitted 25 February, 2026; originally announced February 2026. Comments: 57 pa","https://arxiv.org/abs/2602.22190","https://arxiv.org/pdf/2602.22190","2026-02-26T04:05:14.944Z"
"2602.22188","Surrogate models for Rock-Fluid Interaction: A Grid-Size-Invariant Approach","Nathalie C. Pinheiro, Donghu Guo, Hannah P. Menke, Aniket C. Joshi, Claire E. Heaney, Ahmed H. ElSheikh, Christopher C. Pain","cs.LG, cs.AI, physics.flu-dyn","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22188","https://arxiv.org/pdf/2602.22188","2026-02-26T04:05:14.945Z"
"2602.22179","Learning and Naming Subgroups with Exceptional Survival Characteristics","Mhd Jawad Al Rahwanji, Sascha Xu, Nils Philipp Walter, Jilles Vreeken","cs.LG","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22179","https://arxiv.org/pdf/2602.22179","2026-02-26T04:05:14.945Z"
"2602.22157","Dynamic Personality Adaptation in Large Language Models via State Machines","Leon Pielage, Ole Hätscher, Mitja Back, Bernhard Marschall, Benjamin Risse","cs.CL, cs.HC, cs.LG","Submitted 25 February, 2026; originally announced February 2026. Comments: 22 pa","https://arxiv.org/abs/2602.22157","https://arxiv.org/pdf/2602.22157","2026-02-26T04:05:14.946Z"
"2602.22146","Provable Last-Iterate Convergence for Multi-Objective Safe LLM Alignment via Optimistic Primal-Dual","Yining Li, Peizhong Ju, Ness Shroff","cs.LG, cs.AI","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22146","https://arxiv.org/pdf/2602.22146","2026-02-26T04:05:14.946Z"
"2602.22136","SigmaQuant: Hardware-Aware Heterogeneous Quantization Method for Edge DNN Inference","Qunyou Liu, Pengbo Yu, Marina Zapater, David Atienza","cs.LG, cs.AR","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22136","https://arxiv.org/pdf/2602.22136","2026-02-26T04:05:14.947Z"
"2602.22131","Giving Meaning to Movements: Challenges and Opportunities in Expanding Communication by Pairing Unaided AAC with Speech Generated Messages","Imran Kabir, Sharon Ann Redmon, Lynn R Elko, Kevin Williams, Mitchell A Case, Dawn J Sowers, Krista Wilkinson, Syed Masum Billah","cs.HC, doi, 10.1145/3772318.3791273","Submitted 25 February, 2026; originally announced February 2026. Comments: To ap","https://arxiv.org/abs/2602.22131","https://arxiv.org/pdf/2602.22131","2026-02-26T04:05:14.947Z"
"2602.22207","Recovered in Translation: Efficient Pipeline for Automated Translation of Benchmarks and Datasets","Hanna Yukhymenko, Anton Alexandrov, Martin Vechev","cs.CL, cs.AI, cs.LG","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22207","https://arxiv.org/pdf/2602.22207","2026-02-26T04:07:07.300Z"
"2602.22200","SumTablets: A Transliteration Dataset of Sumerian Tablets","Cole Simmons, Richard Diehl Martinez, Dan Jurafsky","cs.CL, doi, 10.18653/v1/2024.ml4al-1.20","Submitted 25 February, 2026; originally announced February 2026. Comments: 11 pa","https://arxiv.org/abs/2602.22200","https://arxiv.org/pdf/2602.22200","2026-02-26T04:07:07.301Z"
"2602.22197","Off-The-Shelf Image-to-Image Models Are All You Need To Defeat Image Protection Schemes","Xavier Pleimling, Sifat Muhammad Abdullah, Gunjan Balde, Peng Gao, Mainack Mondal, Murtuza Jadliwala, Bimal Viswanath","cs.CV, cs.AI","Submitted 25 February, 2026; originally announced February 2026. Comments: This ","https://arxiv.org/abs/2602.22197","https://arxiv.org/pdf/2602.22197","2026-02-26T04:07:07.302Z"
"2602.22190","GUI-Libra: Training Native GUI Agents to Reason and Act with Action-aware Supervision and Partially Verifiable RL","Rui Yang, Qianhui Wu, Zhaoyang Wang, Hanyang Chen, Ke Yang, Hao Cheng, Huaxiu Yao, Baoling Peng, Huan Zhang, Jianfeng Gao, Tong Zhang","cs.LG, cs.AI, cs.CL","Submitted 25 February, 2026; originally announced February 2026. Comments: 57 pa","https://arxiv.org/abs/2602.22190","https://arxiv.org/pdf/2602.22190","2026-02-26T04:07:07.303Z"
"2602.22188","Surrogate models for Rock-Fluid Interaction: A Grid-Size-Invariant Approach","Nathalie C. Pinheiro, Donghu Guo, Hannah P. Menke, Aniket C. Joshi, Claire E. Heaney, Ahmed H. ElSheikh, Christopher C. Pain","cs.LG, cs.AI, physics.flu-dyn","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22188","https://arxiv.org/pdf/2602.22188","2026-02-26T04:07:07.308Z"
"2602.22179","Learning and Naming Subgroups with Exceptional Survival Characteristics","Mhd Jawad Al Rahwanji, Sascha Xu, Nils Philipp Walter, Jilles Vreeken","cs.LG","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22179","https://arxiv.org/pdf/2602.22179","2026-02-26T04:07:07.308Z"
"2602.22157","Dynamic Personality Adaptation in Large Language Models via State Machines","Leon Pielage, Ole Hätscher, Mitja Back, Bernhard Marschall, Benjamin Risse","cs.CL, cs.HC, cs.LG","Submitted 25 February, 2026; originally announced February 2026. Comments: 22 pa","https://arxiv.org/abs/2602.22157","https://arxiv.org/pdf/2602.22157","2026-02-26T04:07:07.309Z"
"2602.22146","Provable Last-Iterate Convergence for Multi-Objective Safe LLM Alignment via Optimistic Primal-Dual","Yining Li, Peizhong Ju, Ness Shroff","cs.LG, cs.AI","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22146","https://arxiv.org/pdf/2602.22146","2026-02-26T04:07:07.309Z"
"2602.22136","SigmaQuant: Hardware-Aware Heterogeneous Quantization Method for Edge DNN Inference","Qunyou Liu, Pengbo Yu, Marina Zapater, David Atienza","cs.LG, cs.AR","Submitted 25 February, 2026; originally announced February 2026.","https://arxiv.org/abs/2602.22136","https://arxiv.org/pdf/2602.22136","2026-02-26T04:07:07.309Z"
"2602.22131","Giving Meaning to Movements: Challenges and Opportunities in Expanding Communication by Pairing Unaided AAC with Speech Generated Messages","Imran Kabir, Sharon Ann Redmon, Lynn R Elko, Kevin Williams, Mitchell A Case, Dawn J Sowers, Krista Wilkinson, Syed Masum Billah","cs.HC, doi, 10.1145/3772318.3791273","Submitted 25 February, 2026; originally announced February 2026. Comments: To ap","https://arxiv.org/abs/2602.22131","https://arxiv.org/pdf/2602.22131","2026-02-26T04:07:07.310Z"
